agency_cd	site_no	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_	alt_va	alt_acy_va	alt_datum_cd	well_depth_va	gw_begin_date	gw_end_date	gw_count_nu	d_top_2
USGS	254157080213501	25.699533330000001	-80.359600000000000	1	NAD83	7.12	.5	NGVD29	23	1982-04-21	2014-06-03	74	0.099999897181988
USGS	254157080213502	25.699533330000001	-80.359583299999997	1	NAD83	7.15	.5	NGVD29	60	1982-04-21	2014-06-03	71	0.099999897181988
USGS	254157080214002	25.699097200000001	-80.360630599999993	1	NAD83	5.0	.1	NGVD29	40	1978-10-12	2011-06-21	151	0.099999897181988
USGS	254158080212204	25.699569440000001	-80.356277800000001	5	NAD83	7.66	.01	NGVD29	18.3	2010-03-24	2020-12-10	80	0.099999897181988
USGS	254158080294501	25.700222199999999	-80.495500000000007	1	NAD83	7.4	.1	NGVD29	18.30	1994-03-31	2020-10-02	142	0.099999897181988
USGS	254201080173001	25.700833329999998	-80.281777800000000	1	NAD83	7.91	.1	NGVD29	96	1975-10-06	2020-12-03	355	0.100000396370888
USGS	254206080294701	25.702111100000000	-80.496194399999993	S	NAD83	6.1	.1	NGVD29	10	1995-03-09	2020-10-02	136	0.099999897181988
USGS	254207080300201	25.702611099999999	-80.500555599999998	1	NAD83	6	.1	NGVD29	8	1995-11-30	2020-10-09	77	0.099999897181988
USGS	254210080304801	25.703138890000002	-80.513138889999993	S	NAD83	6	.1	NGVD29	6	1995-04-04	2020-10-09	61	0.099999897181988
USGS	254213080281501	25.703805559999999	-80.471000000000004	1	NAD83	6.8	.5	NGVD29	19.10	1994-08-05	2020-12-11	197	0.099999897181988
USGS	254215080201503	25.704944439999998	-80.336583300000001	1	NAD83	11.13	.5	NGVD29	39	1984-01-03	2020-10-19	269	0.099999897181988
USGS	254217080171801	25.705138890000001	-80.287805599999999	S	NAD83	12.5	.5	NGVD29	20	1940-01-11	2020-12-07	275	0.100000396370888
USGS	254218080214102	25.704888889999999	-80.361336100000003	S	NAD83	7.70	.01	NGVD29	30.	2009-09-01	2020-12-08	80	0.099999897181988
USGS	254218080241801	25.705166670000001	-80.405222199999997	1	NAD83	8.5	.1	NGVD29	19	1994-10-28	2020-11-03	192	0.099999897181988
USGS	254248080263801	25.713713200000001	-80.443666199999996	S	NAD83	8.6	.1	NGVD29	20.4	1993-10-27	2006-10-23	69	0.099999897181988
USGS	254334080284401	25.727072199999999	-80.479397199999994	1	NAD83	7.20	.5	NGVD29	19	1994-04-01	2020-10-05	157	0.099999897181988
USGS	254335080170501	25.726638890000000	-80.284250000000000	1	NAD83	11.5	.1	NGVD29	99.5	1982-02-23	2019-03-07	361	0.100000396370888
USGS	254340080203601	25.728277779999999	-80.343555600000002	1	NAD83	8.80	.1	NGVD29	18.1	1994-10-28	2020-11-03	189	0.099999897181988
USGS	254341080174001	25.728249999999999	-80.292916700000006	1	NAD83	13.4	.1	NGVD29	120	1996-10-17	2020-12-03	107	0.100000396370888
USGS	254421080260201	25.739333330000001	-80.433638889999997	1	NAD83	5.9	.1	NGVD29	12	1993-06-21	2020-10-06	151	0.099999897181988
USGS	254432080240401	25.742416670000001	-80.400916699999996	1	NAD83	8.3	.1	NGVD29	19.4	1994-10-28	2020-12-09	148	0.099999897181988
USGS	254442080305201	25.745833330000000	-80.514250000000004	1	NAD83	6	.1	NGVD29	9.64	1995-03-24	2020-11-19	68	0.099999897181988
USGS	254445080295001	25.746305560000000	-80.497027799999998	1	NAD83	8.6	.1	NGVD29	19.50	1994-03-31	2020-10-02	158	0.099999897181988
USGS	254446080295501	25.746361100000001	-80.497888889999999	S	NAD83	6.2	.1	NGVD29	6.80	1995-03-09	2020-10-02	149	0.099999897181988
USGS	254457080160301	25.749555560000001	-80.267555599999994	1	NAD83	6.9	.1	NGVD29	85	1993-10-28	2020-12-03	254	0.100000396370888
USGS	254500080360001	25.760888890000000	-80.577166700000006	1	NAD83	7.4	.1	NGVD29	20	1975-10-30	2020-10-02	195	0.099999897181988
USGS	254536080172601	25.760722200000000	-80.289805599999994	1	NAD83	10.3	.1	NGVD29	18.7	1994-10-11	2020-12-07	135	0.100000396370888
USGS	254542080145901	25.761861100000001	-80.249944400000004	5	NAD83	14.14	.01	NGVD29	143.5	2010-01-07	2020-12-03	125	0.100000396370888
USGS	254629080143101	25.774833330000000	-80.241722199999998	1	NAD83	13.2	.1	NGVD29	110	1996-10-17	2020-01-23	94	0.100000396370888
USGS	254657080214401	25.782527779999999	-80.362416699999997	1	NAD83	7.8	.1	NGVD29	16.8	1995-03-23	2009-10-07	66	0.099999897181988
USGS	254720080253002	25.787638890000000	-80.423861099999996	1	NAD83	8.3	.1	NGVD29	33	1998-12-18	2020-12-11	176	0.099999897181988
USGS	254722080152201	25.789916670000000	-80.256277800000007	1	NAD83	5.0	.1	NGVD29	120	1997-04-21	2020-10-14	87	0.099999897181988
USGS	254752080181501	25.798138890000001	-80.303777800000006	S	NAD83	6.6	.1	NGVD29	54	1989-11-27	2020-12-08	194	0.099999897181988
USGS	254813080161501	25.803999999999998	-80.270916700000001	S	NAD83	6.80	.1	NGVD29	103	1975-10-07	2020-12-08	390	0.099999897181988
USGS	254822080125501	25.806233330000001	-80.215199999999996	S	NAD83	10.4	.5	NGVD29	112	2000-11-08	2020-10-01	85	0.100000396370888
USGS	254823080163701	25.805361099999999	-80.276777800000005	S	NAD83	6.2	.1	NGVD29	54	1989-11-27	2020-12-08	193	0.099999897181988
USGS	254823080175201	25.806638889999999	-80.297527799999997	1	NAD83	8.2	.1	NGVD29	28.80	1989-11-27	2020-10-30	145	0.099999897181988
USGS	254828080161501	25.808483330000001	-80.270583299999998	1	NAD83	6.33	.1	NGVD29	90.2	1990-10-25	2020-07-17	254	0.099999897181988
USGS	254830080284201	25.818527780000000	-80.482333299999993	1	NAD83	7.4	.1	NGVD29	20	1992-11-23	2015-03-26	135	0.099999897181988
USGS	254832080175001	25.809944439999999	-80.297138889999999	1	NAD83	6.9	.1	NGVD29	95	1976-05-04	2020-10-13	183	0.099999897181988
USGS	254833080155801	25.809583329999999	-80.265722199999999	1	NAD83	6.6	.1	NGVD29	104	1976-05-04	2020-12-15	290	0.099999897181988
USGS	254834080171601	25.809861099999999	-80.287694400000007	1	NAD83	8.3	.1	NGVD29	19.50	1989-11-27	2020-10-30	159	0.099999897181988
USGS	254839080162301	25.811472200000001	-80.272777800000000	1	NAD83	4.3	.1	NGVD29	27.50	1989-11-27	2020-10-13	145	0.099999897181988
USGS	254841080164401	25.811861100000002	-80.278694400000006	1	NAD83	6.00	.1	NGVD29	94.5	1975-10-07	2020-12-15	408	0.099999897181988
USGS	254849080154802	25.813986700000001	-80.263105499999995	S	NAD83	6.44	.01	NGVD29	97.3	1975-10-07	1996-09-27	105	0.099999897181988
USGS	254855080163701	25.815527780000000	-80.276777800000005	1	NAD83	6.4	.1	NGVD29	97.3	1975-10-07	2020-12-15	399	0.099999897181988
USGS	254857080171101	25.816250000000000	-80.286194399999999	1	NAD83	6.2	.1	NGVD29	61	1976-05-04	2020-10-13	205	0.099999897181988
USGS	254940080172001	25.828055559999999	-80.288499999999999	1	NAD83	6.3	.1	NGVD29	84	1973-04-30	2020-12-15	370	0.099999897181988
USGS	254946080172601	25.829666670000002	-80.290611100000007	1	NAD83	5.7	.1	NGVD29	116	1994-10-31	2020-12-15	310	0.099999897181988
USGS	254950080171202	25.831499999999998	-80.286333299999995	1	NAD83	8.8	.1	NGVD29	39	1976-05-04	2020-10-13	201	0.099999897181988
USGS	254950080180801	25.830833330000001	-80.301888890000001	1	NAD83	6.2	.1	NGVD29	9.5	1940-02-01	2020-10-13	115	0.099999897181988
USGS	255008080161801	25.835725000000000	-80.271625000000000	1	NAD83	8.8	.1	NGVD29	52.8	1976-05-04	2020-10-13	146	0.099999897181988
USGS	255026080240302	25.840833329999999	-80.402666699999997	1	NAD83	5.1	.1	NGVD29	60	1984-05-21	2020-12-11	201	0.099999897181988
USGS	255027080245501	25.841388890000001	-80.416222200000007	1	NAD83	5.29	.5	NGVD29	34.5	1984-05-21	2020-10-05	222	0.099999897181988
USGS	255030080221401	25.842055559999999	-80.370527800000005	1	NAD83	7.7	.1	NGVD29	30	2008-10-08	2020-10-14	74	0.099999897181988
USGS	255035080255401	25.841666669999999	-80.433527799999993	1	NAD83	4.5	.1	NGVD29	72.69	2001-08-14	2020-10-05	166	0.099999897181988
USGS	255035080255402	25.841694440000001	-80.433527799999993	1	NAD83	4.8	.1	NGVD29	16.3	2001-08-14	2020-10-05	159	0.099999897181988
USGS	255112080151901	25.853972200000001	-80.255527799999996	1	NAD83	10.0	.1	NGVD29	19	1995-04-26	2020-12-14	154	0.099999897181988
USGS	255208080274001	25.869994439999999	-80.456405599999997	H	NAD83	4.8	1	NGVD29	15	1995-10-06	2020-10-14	71	0.099999897181988
USGS	255209080212801	25.869638890000001	-80.355444399999996	1	NAD83	6.9	.1	NGVD29	15	1989-10-30	2020-10-14	183	0.099999897181988
USGS	255344080195600	25.895750000000000	-80.332111100000006	1	NAD83	7.5	.1	NGVD29	18	2002-12-16	2020-10-14	100	0.099999897181988
USGS	255358080260901	25.900055559999998	-80.435833299999999	1	NAD83	6.6	.1	NGVD29	18.7	1995-02-16	2020-10-05	172	0.099999897181988
USGS	255430081221001	25.911487000000001	-81.364522899999997	S	NAD83	4.94	.1	NGVD29	450	1961-05-21	2020-11-20	425	25.000000000000000
USGS	255600080270001	25.935555560000001	-80.447111100000001	1	NAD83	6.4	.5	NGVD29	50	1960-06-24	2020-10-14	245	0.099999897181988
USGS	255616080180301	25.937722200000000	-80.300916700000002	1	NAD83	7.4	.1	NGVD29	18.5	1994-10-07	2020-10-30	139	0.099999897181988
USGS	255637081281401	25.944819500000001	-81.468969900000005	S	NAD83	3.47	.1	NGVD29	50	1986-04-24	2001-04-17	123	23.236909866333008
USGS	255637081281402	25.944819500000001	-81.468969900000005	S	NAD83	3.47	.1	NGVD29	180	1986-04-24	2004-09-21	216	23.236909866333008
USGS	255703081213801	25.951763170000000	-81.359244799999999	S	NAD83	6.9	.1	NGVD29	37	1985-03-28	2020-11-20	358	25.000000000000000
USGS	255707080255001	25.952111100000000	-80.429500000000004	1	NAD83	5.9	.1	NGVD29	26	1992-10-03	2020-10-14	139	0.099999897181988
USGS	255709080223701	25.952916670000000	-80.375444400000006	1	NAD83	3.8	.1	NGVD29	15	1993-10-05	2020-10-30	120	0.099999897181988
USGS	255739081211201	26.115708330000000	-81.686663890000005	1	NAD83	10.5	0.5	NGVD29	88	2008-10-22	2020-12-02	146	25.000000000000000
USGS	255739081211202	26.115736099999999	-81.686661099999995	1	NAD83	10.4	0.5	NGVD29	15	2008-10-22	2020-12-02	145	25.000000000000000
USGS	255748081181801	25.965095739999999	-81.311465699999999	S	NAD83	7.58	.1	NGVD29	70	1975-11-21	2004-09-21	250	25.000000000000000
USGS	255807080224301	25.968499999999999	-80.378416700000002	1	NAD83	6.2	.1	NGVD29	24	1978-05-03	2017-12-07	122	0.099999897181988
USGS	260032080135701	26.009388890000000	-80.232138890000002	S	NAD83	9.1	.1	NGVD29	20	1978-05-03	2020-12-07	155	0.099999897181988
USGS	260035080101501	26.010090479999999	-80.171157500000007	S	NAD83	5.60	.1	NGVD29	163	1978-10-18	2003-09-29	199	0.099999897181988
USGS	260035080102601	26.010090490000000	-80.173657500000004	S	NAD83	5.41	.01	NGVD29	157	1978-07-17	1998-09-30	120	0.099999897181988
USGS	260035080102602	26.010090490000000	-80.173657500000004	S	NAD83	5.19	.01	NGVD29	190	1978-07-17	1998-09-30	120	0.099999897181988
USGS	260041080093101	26.011516669999999	-80.158505599999998	H	NAD83	13.3	.5	NGVD29	203	1987-01-21	2020-11-24	386	0.100000396370888
USGS	260041080093102	26.011536100000001	-80.158511099999998	H	NAD83	13.5	.5	NGVD29	91	1987-01-21	2020-11-24	366	0.100000396370888
USGS	260045080102201	26.013145900000001	-80.172268599999995	S	NAD83	6.31	.01	NGVD29	192	1978-07-17	1998-09-30	75	0.099999897181988
USGS	260053080102301	26.015090290000000	-80.172268599999995	S	NAD83	6.05	.01	NGVD29	187	1978-07-17	1998-09-30	75	0.099999897181988
USGS	260111080101401	26.020090100000001	-80.171990800000003	S	NAD83	6.52	.01	NGVD29	64	1978-07-17	1998-09-30	76	0.099999897181988
USGS	260111080101402	26.020090100000001	-80.171990800000003	S	NAD83	6.81	.1	NGVD29	171	1978-07-17	2003-03-27	130	0.099999897181988
USGS	260111081243901	26.006761279999999	-81.410634700000003	S	NAD83	10.82	.1	NGVD29	57	1976-10-07	2020-10-27	427	25.000000000000000
USGS	260120080093401	26.022361100000001	-80.159388890000002	1	NAD83	10.72	.1	NGVD29	181	1994-10-24	2020-11-24	312	0.100000396370888
USGS	260137081375901	26.028055559999999	-81.632694400000005	S	NAD83	6.30	.1	NGVD29	55	1986-04-24	2020-12-02	288	24.873710632324219
USGS	260137081375902	26.028150459999999	-81.632584600000001	S	NAD83	6.08	.1	NGVD29	120	1986-10-20	2020-12-02	302	24.873710632324219
USGS	260155080092002	26.032194440000001	-80.155694400000002	1	NAD83	7.0	.1	NGVD29	273	1996-11-07	2020-11-24	286	0.100000396370888
USGS	260219080141101	26.038972200000000	-80.236361099999996	S	NAD83	6.31	.1	NGVD29	20	1978-05-03	2020-12-07	167	0.099999897181988
USGS	260224081394301	26.051111100000000	-81.654166700000005	S	NAD83	6.80	.1	NGVD29	32.5	1984-10-29	2004-09-21	240	25.000000000000000
USGS	260238081401401	26.044538899999999	-81.670085499999999	U	NAD83	5.09	.01	NGVD29	nodata	1985-04-29	1993-08-26	102	25.000000000000000
USGS	260241080112701	26.045222200000001	-80.190638890000002	1	NAD83	6.6	0.1	NGVD29	197	2000-10-27	2020-10-09	69	0.100000396370888
USGS	260242080101101	26.045833330000001	-80.168194400000004	1	NAD83	11.5	.5	NGVD29	117.4	2000-10-30	2020-04-15	81	0.100000396370888
USGS	260251081412801	26.047777780000001	-81.691111100000001	S	NAD83	5.00	.1	NGVD29	19	1993-09-01	2004-09-21	116	25.000000000000000
USGS	260304081391401	26.047872000000002	-81.653973899999997	S	NAD83	6.70	.01	NGVD29	150	1984-10-29	1999-04-21	169	25.000000000000000
USGS	260309081272601	26.053148560000000	-81.456746789999997	U	NAD83	9.4	.1	NGVD29	370	1984-10-19	2020-10-27	287	25.000000000000000
USGS	260314081323101	26.054166670000001	-81.541944400000006	S	NAD83	5.40	.01	NGVD29	65	1986-04-24	2002-07-23	173	25.000000000000000
USGS	260314081323102	26.054166670000001	-81.541944400000006	S	NAD83	7.39	.01	NGVD29	200	1986-04-24	2002-07-23	190	25.000000000000000
USGS	260314081323103	26.054815600000001	-81.541748900000002	S	NAD83	7.3	.1	NGVD29	62	2003-11-19	2020-12-02	153	25.000000000000000
USGS	260314081323104	26.054815600000001	-81.541748900000002	S	NAD83	7.9	.1	NGVD29	205	2003-11-19	2020-12-02	154	25.000000000000000
USGS	260325080113901	26.057777779999999	-80.193888889999997	1	NAD83	5.98	.1	NGVD29	114.5	2000-10-30	2018-10-17	251	0.099999897181988
USGS	260326080120301	26.057583330000000	-80.200805599999995	1	NAD83	4.0	.1	NGVD29	208	2003-10-29	2020-12-07	84	0.099999897181988
USGS	260334081391601	26.060649290000001	-81.653973899999997	S	NAD83	9.50	.1	NGVD29	23	1984-10-25	2020-12-02	366	25.000000000000000
USGS	260342080115902	26.061694440000000	-80.199722199999997	1	NAD83	4.7	.1	NGVD29	203	1978-07-13	2019-11-14	101	0.099999897181988
USGS	260405081414101	26.068426970000001	-81.694530400000005	S	NAD83	5.80	.1	NGVD29	157	2008-10-23	2020-12-10	104	25.000000000000000
USGS	260448081411601	26.080370899999998	-81.687585700000000	S	NAD83	7.00	5.	NGVD29	25	1970-11-02	1991-02-20	87	25.000000000000000
USGS	260458080134801	26.085616670000000	-80.229366700000000	S	NAD83	7.1	.1	NGVD29	20	1978-05-03	2020-10-06	140	0.099999897181988
USGS	260515080202101	26.087777780000000	-80.338555600000007	1	NAD83	6.6	.1	NGVD29	29	1975-10-08	2020-12-08	154	0.099999897181988
USGS	260521080122401	26.089532060000000	-80.206714000000005	S	NAD83	5.90	.1	NGVD29	58	1975-10-15	2003-09-30	216	0.099999897181988
USGS	260527080123801	26.091198680000002	-80.210325200000000	S	NAD83	8.00	5.	NGVD29	182	1975-10-15	1993-09-22	105	0.099999897181988
USGS	260528080122301	26.091198670000001	-80.206158400000007	S	NAD83	7.46	.1	NGVD29	182	1975-10-15	2003-09-30	122	0.099999897181988
USGS	260529080115801	26.091754179999999	-80.199213799999995	S	NAD83	6.54	.01	NGVD29	61	1975-10-15	1990-10-19	81	0.099999897181988
USGS	260529080115802	26.091754179999999	-80.199213799999995	S	NAD83	6.56	.01	NGVD29	190	1975-10-15	1990-10-19	80	0.099999897181988
USGS	260530080112101	26.092031899999999	-80.189213499999994	S	NAD83	7.13	.1	NGVD29	60	1975-10-15	2004-09-23	244	0.100000396370888
USGS	260533080123701	26.092865280000002	-80.210047500000002	S	NAD83	7.16	.1	NGVD29	135	1975-10-15	2003-09-30	234	0.099999897181988
USGS	260534080110801	26.093250000000001	-80.185555600000001	1	NAD83	5.0	.1	NGVD29	126	2000-10-27	2020-11-23	100	0.100000396370888
USGS	260534080112101	26.092865199999999	-80.189213499999994	S	NAD83	4.69	.1	NGVD29	180	1976-05-04	2004-06-07	130	0.100000396370888
USGS	260535080104301	26.093420729999998	-80.178101990000002	S	NAD83	3.87	.1	NGVD29	206	1975-10-15	2003-09-30	224	0.100000396370888
USGS	260540081430601	26.094814950000000	-81.718141900000006	U	NAD83	6	1.6	NAVD88	nodata	1984-10-25	1993-08-26	105	22.506870269775391
USGS	260545080082001	26.096055560000000	-80.138499999999993	S	NAD83	8.5	.1	NGVD29	20.3	1948-02-11	2020-12-08	696	0.100000396370888
USGS	260547080105801	26.096472200000001	-80.182666699999999	1	NAD83	4.9	.1	NGVD29	171	1995-10-27	2020-11-23	287	0.100000396370888
USGS	260549081441901	26.098148259999999	-81.738420189999999	S	NAD83	5.40	.1	NGVD29	52	1980-09-16	2020-12-02	419	19.182010650634766
USGS	260551080111901	26.097222200000001	-80.188444399999995	1	NAD83	6.20	.5	NGVD29	190	2004-11-09	2020-10-09	67	0.100000396370888
USGS	260630081411401	26.108703100000000	-81.687029999999993	U	NAD83	11	1.6	NAVD88	nodata	1980-09-16	1993-08-26	163	25.000000000000000
USGS	260632081324702	26.109813400000000	-81.542859800000002	S	NAD83	9.10	.1	NGVD29	48	1981-05-12	2011-10-26	126	25.000000000000000
USGS	260638080095801	26.110920040000000	-80.165879300000000	S	NAD83	5	1.6	NAVD88	69	1975-10-14	2003-09-30	92	0.100000396370888
USGS	260638080104801	26.111027780000001	-80.179833299999999	1	NAD83	7.0	.5	NGVD29	190	2000-10-27	2020-10-13	83	0.099999897181988
USGS	260640081204301	26.112867789999999	-81.344799199999997	S	NAD83	14.3	.1	NGVD29	45	1975-10-21	2020-11-20	381	25.000000000000000
USGS	260653080184901	26.034111100000001	-80.385305599999995	1	NAD83	6.3	.1	NGVD29	22	1978-10-11	2020-12-08	150	0.099999897181988
USGS	260657080122301	26.115677779999999	-80.206333299999997	H	NAD83	9.2	.1	NGVD29	68	1947-10-17	2020-12-07	184	0.100000396370888
USGS	260658080132001	26.116475540000000	-80.221992200000003	S	NAD83	6	1.6	NAVD88	16	1975-10-14	2003-09-30	82	0.100000396370888
USGS	260752080084701	26.131061100000000	-80.146249999999995	1	NAD83	7.0	.01	NGVD29	20	1977-05-03	2020-12-08	167	0.099999897181988
USGS	260753080113901	26.130363830000000	-80.193935800000006	S	NAD83	6.48	.1	NGVD29	210	1975-10-15	2003-09-30	226	0.099999897181988
USGS	260804080092701	26.134805560000000	-80.160305600000001	1	NAD83	5.9	0.1	NGVD29	125	2000-10-27	2020-11-06	80	0.099999897181988
USGS	260813081214301	26.154532889999999	-81.361743899999993	S	NAD83	13.37	.01	NGVD29	50	1986-04-24	1996-07-22	104	24.626319885253906
USGS	260813081214302	26.154532889999999	-81.361743899999993	S	NAD83	14.60	.1	NGVD29	205	1986-04-24	2004-09-20	215	24.626319885253906
USGS	260821080185101	26.138611099999999	-80.313861099999997	1	NAD83	6.6	.1	NGVD29	22	1978-10-16	2020-12-08	153	0.099999897181988
USGS	260843081324201	26.145555559999998	-81.543611100000007	S	NAD83	11.18	.1	NGVD29	150	1984-11-28	2004-09-20	223	25.000000000000000
USGS	260843081324202	26.145645300000002	-81.543692899999996	S	NAD83	11.18	.1	NGVD29	40	1984-10-18	2004-09-20	224	25.000000000000000
USGS	260902081480401	26.150555560000001	-81.806388889999994	S	NAD83	5.90	.1	NGVD29	71.5	1975-10-16	2004-09-20	268	13.032710075378418
USGS	260908081411201	26.153423579999998	-81.685918599999994	U	NAD83	10.53	.01	NGVD29	23.5	1985-03-26	1996-07-22	123	25.000000000000000
USGS	260912081434201	26.153701590000001	-81.729253000000000	S	NAD83	12.00	5.	NGVD29	123	1982-10-07	1992-02-18	114	22.348239898681641
USGS	260914081411601	26.154256889999999	-81.687585299999995	S	NAD83	11.24	5.	NGVD29	30	1970-11-01	1984-07-26	69	25.000000000000000
USGS	260915081385901	26.154812199999999	-81.646195390000003	S	NAD83	11.65	.1	NGVD29	40	1984-10-18	2020-12-02	367	25.000000000000000
USGS	260915081385902	26.154444439999999	-81.646388889999997	S	NAD83	11.3	.1	NGVD29	140	1984-10-18	2020-12-02	383	25.000000000000000
USGS	260919081460501	26.156479470000001	-81.767865000000000	S	NAD83	8.52	.1	NGVD29	25	1986-04-24	2004-09-20	207	17.044080734252930
USGS	260919081460502	26.195089079999999	-81.769253789999993	S	NAD83	8	1.6	NAVD88	125	1986-10-20	1994-10-27	102	23.163949966430664
USGS	260920080092201	26.155999999999999	-80.156000000000006	1	NAD83	5.2	0.1	NGVD29	119.5	1999-10-22	2020-11-23	260	0.099999897181988
USGS	260925081475101	26.157499999999999	-81.797499999999999	S	NAD83	10.80	.1	NGVD29	24	1986-04-24	2020-11-12	342	13.938929557800293
USGS	260925081475201	26.157361099999999	-81.798472200000006	5	NAD83	14.69	.01	NGVD29	70	1976-05-13	1996-07-23	169	13.938929557800293
USGS	260941081324201	26.161477999999999	-81.543970599999994	S	NAD83	11.0	.5	NGVD29	460	1984-10-18	2020-12-02	378	25.000000000000000
USGS	260948081483301	26.163701600000000	-81.808977200000001	U	NAD83	5	1.6	NAVD88	80	1975-10-17	1994-08-24	200	13.359089851379395
USGS	261000080520001	26.172863780000000	-80.883120300000002	S	NAD83	12.86	.1	NGVD29	8.5	1976-10-05	2020-11-18	468	3.418399095535278
USGS	261002081483701	26.166388890000000	-81.810138890000005	S	NAD83	7.4	.1	NGVD29	83	1974-05-07	2020-05-06	256	14.591679573059082
